UNITID,EFYTOTLT
100654,6173
100654,5108
100654,1065
100663,20395
100663,12673
100663,7722
100690,1097
100690,570
100690,527
100706,9102
100706,7194
100706,1908
100724,6625
100724,5493
100724,1132
100751,30613
100751,24965
100751,5648
100760,3423
100760,3423
100812,4918
100812,4918
100830,7227
100830,5941
100830,1286
100858,26464
100858,21039
100858,5425
100937,1611
100937,1566
100937,45
101028,2737
101028,2737
101073,728
101073,728
101116,1073
101116,1002
101116,71
101143,4112
101143,4112
101161,6557
101161,6557
101189,4075
101189,3506
101189,569
101240,10019
101240,10019
101286,6841
101286,6841
101295,8758
101295,8758
101301,3229
101301,3229
101365,716
101365,716
101435,1233
101435,1233
101453,124
101453,83
101453,41
101462,2068
101462,2068
101471,1053
101471,1053
101480,11379
101480,9411
101480,1968
101499,2128
101499,2128
101505,13888
101505,13888
101514,16717
101514,16717
101541,342
101541,342
101569,6637
101569,6637
101587,6390
101587,2233
101587,4157
101602,2572
101602,2572
101648,548
101648,548
101675,2089
101675,2089
101693,1984
101693,1733
101693,251
101709,3493
101709,2833
101709,660
101736,6262
101736,6262
101879,8685
101879,7206
101879,1479
101897,4657
101897,4657
101912,2009
101912,1948
101912,61
101949,2066
101949,2066
101958,133
101958,133
101994,1111
101994,1111
102030,5911
102030,5911
102049,5145
102049,3086
102049,2059
102058,567
102058,536
102058,31
102067,9689
102067,9689
102076,3387
102076,3387
102094,17372
102094,13550
102094,3822
102234,1749
102234,1451
102234,298
102261,239
102261,239
102270,1185
102270,1185
102298,780
102298,780
102313,2582
102313,2582
102368,38040
102368,27773
102368,10267
102377,3833
102377,3240
102377,593
102395,1079
102395,251
102395,828
102429,6624
102429,6624
102553,27909
102553,26356
102553,1553
102580,37
102580,37
102614,15664
102614,14189
102614,1475
102632,6436
102632,5808
102632,628
102669,889
102669,588
102669,301
102711,1103
102711,1103
102845,3656
102845,3656
103361,2265
103361,2265
103501,555
103501,555
103644,12245
103644,12245
103723,1856
103723,1856
103732,173
103732,173
103741,390
103741,390
103778,1487
103778,4
103778,1483
103787,102
103787,102
103811,1563
103811,1563
103893,1818
103893,1818
103909,1965
103909,1965
103927,1393
103927,1393
103945,349
103945,349
103954,125
103954,125
103963,2552
103963,2552
104090,2688
104090,2688
104151,76438
104151,60204
104151,16234
104160,12453
104160,12453
104179,42783
104179,32902
104179,9881
104188,333
104188,333
104294,404
104294,404
104346,15029
104346,15029
104364,1153
104364,1153
104391,90
104391,90
104425,14633
104425,14633
104434,108
104434,108
104443,305
104443,305
104504,309
104504,309
104531,3510
104531,2716
104531,794
104568,425
104568,425
104577,10247
104577,10247
104586,1782
104586,1733
104586,49
104665,31
104665,9
104665,22
104708,32378
104708,32378
104717,53018
104717,30101
104717,22917
104805,1762
104805,1762
104911,297
104911,297
104984,761
104984,761
105118,1046
105118,1046
105127,154
105127,154
105145,14159
105145,14159
105154,41759
105154,41759
105163,896
105163,896
105172,1394
105172,1394
105206,9622
105206,9622
105215,3328
105215,3328
105297,2829
105297,2829
105330,25813
105330,19586
105330,6227
105349,9473
105349,9473
