UNITID,F1A13,F1A18,F1B25,I       
100654,113050823,79610700,140776490,
100663,1088903701,2236977186,2520549926,
100706,130385545,261995785,195017924,
100724,204446635,136138305,145335140,
100733,2203052,13098975,13361520,
100751,905840696,1534341490,927903526,
100760,10140149,22932492,27014622,
100812,20650652,27065625,33126611,
100830,39394693,51193331,81692022,
100858,812085277,1269294273,828419795,
101028,10445983,18033285,14823443,
101143,5963711,24062130,27986469,
101161,20850048,30817015,34192874,
101240,35757086,57786909,65382358,
101286,13217418,44136484,42055726,
101295,31366693,83222628,55925497,
101301,2036047,39336159,24316942,
101462,4402545,9892885,14986290,
101471,690434,7366702,12679958,
101480,114879272,79295032,118422431,
101499,2158441,12969872,14238991,
101505,69484963,37978183,56283150,
101514,42375437,62481347,65808118,
101569,18332283,26741275,45077119,
101587,16856130,28355064,57852106,
101602,7360352,18250392,19184150,
101648,3827791,20023363,11478558,
101709,36168552,54975399,52741882,
101736,7163607,30655282,44192943,
101879,38382782,91967262,89126842,
101897,8285014,21010496,27267318,
101949,5380751,16519553,23136924,
101994,3483538,4555859,10020551,
102030,13035605,31051613,46450014,
102067,18393969,67517711,47887408,
102076,8322184,22809163,19287496,
102094,497886000,419271000,592506000,
102313,10359907,18785290,24368947,
102368,158690164,236101970,285256504,
102429,22061418,54322641,50137140,
102553,64705697,315496448,282978202,
102614,84879142,397139554,408489790,
102632,15387037,58283167,52792545,
102711,,,11211386,
103361,640938,14465498,8282588,
103529,106188494,204477441,52204952,
104151,1270088000,1036795000,1607184000,
104160,88751785,55033945,68823279,
104179,1360046000,973603000,1558880000,
104346,67227936,80739938,72806097,
104425,30842174,48813724,48775226,
104577,2933652,74882695,43075142,
104708,,,109776592,
105136,776002667,660052656,101262065,
105145,,,52297205,
105154,,,147671502,
105206,12286533,17391342,40408753,
105297,3909846,52777716,31024145,
105330,547571782,368830300,426232676,
105349,1300414,58528019,33457702,
105428,,,69075408,
105525,38180606,199062637,207064145,
105668,,,125875977,
105747,,,60907583,
105792,,,33971951,
106148,62504995,65289513,66092593,
106245,119504456,185509739,202059772,
106263,453029000,671946000,1159028000,
106397,557873774,635232999,648370969,
106412,31127843,84367807,84423531,
106449,40584531,37169484,36330036,
106458,146814628,184969150,196741254,
106467,66384309,80642614,100846832,
106485,16220118,38363491,44474184,
106625,3715414,34514814,20530800,
106704,101879641,89225985,189375696,
106795,6752634,11771549,13672348,
106829,,,4978511,
106883,1841169,19659161,16328605,
106980,15243598,19567155,33038047,
106999,5351596,15695958,17466110,
107071,38746600,36023359,51178243,
107318,18890404,35869557,25230384,
107327,6121569,23099020,23191847,
107460,5788429,18621580,26270304,
107488,,,6660124,
107521,2133219,3836707,12823410,
107549,3897531,9606742,12416994,
107585,4306994,14154284,17664071,
107619,14697282,14537767,26275951,
107637,3033282,24409091,18231971,
107664,52118590,35329083,66654566,
107725,7747809,10029893,14536823,
107743,1843781,12762489,14023919,
107974,6042816,21745884,18354980,
107983,43250484,40406447,47134548,
107992,1777440,18507498,21150280,
108056,14783824,26652575,140383880,
108092,85605149,80046381,72266392,
108667,,,30804721,
108807,108016647,86281047,79738634,
109208,,,175318384,
109350,175640159,43835185,100181694,
109819,337348702,173033918,136826550,
109907,1889233,32168153,25466613,
110246,106607929,146697271,125360947,
110334,210282208,90921923,123788248,
110398,48684228,131225185,57177956,
110422,514558442,381037424,329425756,
110486,44639873,109239083,125858532,
110495,59768014,120221272,125727969,
110501,1131674406,-118911947,257747681,
110510,164000938,296778099,270656167,
110529,225631127,351661472,326880124,
110538,195981328,205054572,235174941,
110547,63406558,176768191,169683174,
110556,130706709,288585535,316879959,
110565,441894549,412587195,410717121,
110574,164690170,153055811,203645811,
110583,235704489,457920181,391424924,
110592,129271882,295596442,261492604,
110608,251523302,451006348,451094431,
110617,306030581,263178223,372189928,
110635,,,2198283282,
