UNITID,F1A13,F1A18,F1B25
100654,116267000,81817807,145365185
100663,1171668911,2339292264,2611926202
100706,129274908,267736680,201115075
100724,262888167,136240954,150199733
100733,2220512,14041491,14228224
100751,1089231555,1614638164,845911128
100760,10106770,25674983,32715987
100812,22925383,30351763,34701634
100830,77894493,53801659,87510186
100858,1056576025,1381618581,873663517
101028,10579578,18064172,15354223
101143,10672636,26363375,31574251
101161,26209297,33122026,35665239
101240,37672484,61389450,63082155
101286,13211815,47833848,42160683
101295,32566382,90604601,70812994
101301,2086135,41536839,27261484
101462,4306732,10575316,14309669
101471,771806,7008175,12853373
101480,116875958,83517403,123510903
101499,2068524,13564841,13478055
101505,67751506,44811953,58641822
101514,43438365,72613348,70475598
101569,20138635,29331086,49991401
101587,41845690,42654238,70511924
101602,7387267,18244292,18519293
101648,3957750,19744792,11844064
101709,35965518,55600137,54474013
101736,7048456,31116417,35116828
101879,64732813,96492173,91591510
101897,8313560,22248162,29286611
101949,4529579,17029661,21417370
101994,3480555,4631235,9697729
102030,12640233,35335571,41150696
102067,16583058,69869747,50394700
102076,14076720,22840497,18384042
102094,503301000,416896000,596152000
102313,10856593,19462209,25565201
102368,178608995,265619878,288860257
102429,20932651,56788445,45125653
102553,62254576,351759866,310968435
102614,90665882,468383153,476849911
102632,13742484,61415921,53937978
102711,,,13549665
103361,336494,18056058,10577344
103529,123435653,223006702,66651763
104151,1306429000,1130440000,1705041000
104160,83361520,57897763,68731670
104179,1385180000,1069087000,1651233000
104346,64541310,92314297,72570734
104425,29342278,52980436,50338646
104577,3344020,78312454,45034843
104708,,,118152890
105136,860986370,763604262,91198738
105145,,,52045718
105154,,,152060245
105206,6944742,22787108,42301134
105297,14761550,60451631,38300115
105330,527890628,417896760,455594213
105349,1828409,66416592,32793581
105428,,,76991020
105525,28640412,216959372,217919699
105668,,,148493818
105747,,,61768036
105792,,,34924323
106148,66200467,76587228,72245184
106245,118210559,191189006,202968154
106263,496710000,731413000,1215653000
106397,684163415,652202638,690744998
106412,29561616,95372964,83506578
106449,39908174,37868931,37921271
106458,148284363,201894484,212893533
106467,69703119,92083743,118588209
106485,16676395,41290476,50989460
106625,4770646,36218546,23400844
106704,126017612,98263585,179501962
106795,6746000,12203427,14349362
106829,,,5888106
106883,4471573,20219712,14553261
106980,15123306,19363446,34852687
106999,4821346,15799620,16023553
107071,38677906,41137133,59720881
107318,23406545,36365762,25977899
107327,6258643,23607416,23253175
107460,5328709,18972973,25975864
107488,,,7168116
107521,3232388,3648858,12497121
107549,3861735,10236402,13823915
107585,4807789,14749202,19741616
107619,14160670,18780581,26629521
107637,3594994,24452986,19531575
107664,50918430,39821099,74635665
107725,7330181,11352975,16031267
107743,1887400,12020974,10460906
107974,5041423,22619506,19456838
107983,48872813,42231946,49762404
107992,2370139,20887835,20831117
108056,19566445,31249743,144314963
108092,92040482,80296847,78944837
108667,,,41221829
108807,105885915,95344840,84543428
109208,,,173626363
109350,191862963,54019270,149017313
109819,336365837,171552684,138018636
109907,3311461,44982537,41207642
110246,120157418,147648736,126617800
110334,211066990,101465425,118068840
110398,47138283,143669146,64236079
110422,519321692,477619138,444730472
110486,44863127,117426823,128306285
110495,58073643,127019755,131057476
110501,1287637737,-492478582,117835439
110510,157196562,296149215,245814632
110529,233879778,366262566,293680127
110538,187969681,216308849,238191878
110547,60292775,186189852,172081649
110556,132541131,270790433,290842189
110565,430149125,426816787,446151979
110574,157365684,169828099,207798835
110583,223322177,471915212,438395834
110592,124808452,306627430,268725458
110608,260304989,484773955,472008143
110617,296086762,279773873,375735550
110635,,,2537770556
110644,,,3313186463
110653,,,2155187525
110662,,,5235134984
110671,,,699314457
110680,,,3415352861
110699,,,4388584000
110705,,,857089062
110714,,,727105284
111188,22471696,66873159,42440948
111434,129862434,25431372,35225564
111461,221106601,80715936,128073961
111887,161843640,70977346,156010324
111896,,,34675688
111920,372699837,49669964,108383487
111939,195278239,176591895,161415718
112172,93836022,69933426,99267673
112190,492918657,183686035,367204662
112367,,,7793106
112376,37587101,13486222,27742648
112385,66052230,23699489,48752465
112561,,,7877645
112686,84716956,26983355,43456757
112817,315144125,189476017,31383274
112826,,,53514773
113096,,,76329107
113111,,,51853690
113193,50299191,102305365,83430353
113218,,,49808720
113236,,,100387604
113573,330753149,138826714,89055865
113634,,,117765408
113856,,,204534316
113953,,,33625303
113980,218971876,113332839,186558068
114266,,,60599199
114433,4371765,14977216,24219258
114716,316172644,39680607,115399564
114789,77184045,90526546,138900375
114831,790431610,99201518,288498912
114859,,,170930244
114938,108965698,18618560,48929905
115001,100666645,70940904,138137278
115126,115952448,41603646,85583295
115287,250700842,119472241,15345036
115296,,,94267766
115393,145270322,75567486,67530165
115755,98656794,191594890,156262938
115861,102990714,-7169825,72564054
116439,,,79504252
117052,56360616,145413586,82296355
117195,3121097,31097760,18535646
117247,,,84590364
117274,3451307,7439953,22146189
117645,420310848,46241422,196890886
117681,3997759224,757974176,0
117690,,,78177430
117706,,,148656750
117715,,,57276115
117724,,,106369343
117733,,,138358253
117788,,,147897937
117803,,,6301485
117867,,,76667397
117894,,,61909758
117900,404926960,435899402,43247580
118347,204647075,44904402,70756549
118684,38704675,34187315,33215701
118718,61164618,88921067,94425429
118772,,,43430942
118912,13500247,112376528,101541038
118930,,,65810849
118976,,,53635057
119067,150174566,60854656,62316187
119137,,,62286108
119164,270634800,173303878,232392149
119216,25971085,69962645,91693660
119331,157412784,14962415,56439063
120023,299664469,256066285,0
120290,154852142,73986180,72471666
120342,198042676,71057556,146173240
120421,,,42363643
120953,42774965,50054589,24467544
120971,357383697,144836081,166198702
121044,166459644,185033025,195191339
121178,722894118,71868955,33499901
121363,,,33550391
121619,,,137072782
121707,37457745,51410212,68994497
121886,221852715,94501962,118285766
121901,300845170,216986120,274898974
122180,,,121872131
122205,,,136159324
122320,133564338,59012001,63773872
122339,203569337,89941928,130641583
122375,174457255,77079496,103875094
122384,91082575,40242516,53597399
122409,209752806,442405743,503352444
122597,351629587,416951887,480913511
122658,223445479,105662667,177322669
122737,322379600,77783185,33676737
122746,,,58092844
122755,376456613,247881677,397359600
122782,127473273,24963496,29810861
122791,301111293,58967580,81677318
122889,66643958,131592921,151337077
122977,462824417,131101526,234331184
123013,245379388,189629575,158129162
123217,120311527,92138894,110542744
123299,63930463,35215416,69926933
123341,105439784,85500893,122106726
123484,32025540,8778628,29931096
123493,,,8338105
123509,212249936,41565579,57573415
123527,,,119767351
123563,140852178,31434495,85581673
123572,197244869,172843479,159581888
123800,277408084,69726216,142506262
123925,3036796,22809688,25789055
124113,78401624,44607185,36882025
124557,30047869000,19764772000,1813727000
125019,358314096,350209588,59372062
125028,,,65683021
125091,159266000,68249000,108388031
125170,,,42016531
125222,316606669,116256876,83963499
125301,,,6991333
125462,,,40270129
125471,,,90242855
126100,363460989,117418597,107734646
126119,97669670,32540855,48210026
126182,72277420,65079900,47801543
126207,27484784,96997545,64167270
126289,10529898,42716749,43709530
126562,828897927,940324776,1353973581
126580,135321693,178041985,134618195
126614,834461672,1219892764,1177843705
126711,38159940,172622471,89060118
126748,11151255,33581480,25579345
126775,214924899,196579816,203708406
126818,669356406,728226515,852321061
126863,6877989,18948405,34624610
126915,,,4356931
126942,37045641,31863524,60786275
127158,,,15411319
